"","PG.ProteinGroups","20241217_HeLa1_shift","20241217_HeLa2_shift","20241217_HeLa3_shift","20241218_HeLa1_shift","20241219_HeLa1_shift","20241222_HeLa1_shift","20241222_HeLa2_shift"
"1","iRT_Peptides_Fusion",2568.287109375,NA,1507.18420410156,4535.02392578125,NA,NA,NA
"2","O00148",1231.15979003906,1340.10852050781,1474.94299316406,1629.47668457031,NA,1159.74645996094,1215.22412109375
"3","O60506;O60506-2",1713.13330078125,1760.54760742188,1946.82287597656,1763.08935546875,NA,1233.58959960938,1305.12585449219
"4","O60814;P58876;P62807;Q5QNW6;Q5QNW6-2;Q93079;Q99877;Q99879",31904.671875,34270.3046875,37250.68359375,34143.54296875,30157.2421875,29205.5078125,29555.822265625
"5","O75367-1;O75367-3",1206.75598144531,1225.29211425781,NA,1196.53833007812,NA,NA,NA
"6","O75531",1524.25280761719,1618.17736816406,1676.740234375,1499.21606445312,1222.84497070312,1241.83801269531,1192.20556640625
"7","P00338",8464.3212890625,9740.607421875,10215.8310546875,9853.4462890625,9296.3779296875,7221.11279296875,7283.7197265625
"8","P00441",1101.22448730469,1055.6748046875,1439.6328125,1318.03088378906,1486.02526855469,1234.81860351562,1240.46435546875
"9","P00558",8188.60546875,9300.388671875,9241.0810546875,8928.4228515625,7819.9599609375,6677.10986328125,6498.11669921875
"10","P00966",1263.79248046875,1370.39147949219,1424.56811523438,1407.67785644531,1249.43273925781,1154.08825683594,1258.71459960938
"11","P02511",2978.78857421875,NA,NA,NA,NA,NA,NA
"12","P02533",1460.9443359375,1524.62536621094,1613.23645019531,1592.06896972656,1477.75329589844,1392.74255371094,1284.22277832031
"13","P02538;P48668",5073.94580078125,5721.9189453125,6093.302734375,4107.0732421875,NA,4178.21337890625,3869.46923828125
"14","P02545",1659.87097167969,1860.40869140625,1965.89331054688,1949.17712402344,1830.93908691406,1614.38305664062,1523.74621582031
"15","P02786",1954.10852050781,1837.373046875,1812.62121582031,2239.6435546875,1484.83032226562,NA,NA
"16","P04075",8872.3623046875,9411.787109375,9974.9033203125,9868.44140625,10352.9150390625,7774.7421875,7656.96875
"17","P04083",1486.10754394531,1811.56958007812,1862.4677734375,1615.44287109375,1873.02465820312,1404.72021484375,1314.11865234375
"18","P04406",24851.099609375,27103.373046875,25200.40234375,23212.87109375,18602.02734375,17459.49609375,15411.1259765625
"19","P04792",1580.62072753906,1547.35070800781,1791.76867675781,1574.99169921875,NA,1339.80859375,1595.34448242188
"20","P05141",2984.59790039062,3350.83178710938,3206.3798828125,2958.69799804688,2855.4111328125,2355.18383789062,2844.90649414062
"21","P05387",1684.12243652344,1757.21899414062,1857.14794921875,1996.72351074219,1850.50061035156,1395.33837890625,1443.88391113281
"22","P05388",1083.62707519531,1341.25476074219,1264.22619628906,1247.25061035156,1120.97375488281,1218.43762207031,NA
"23","P05783",5256.25732421875,5984.8837890625,6111.412109375,6134.0029296875,5534.25146484375,5105.595703125,4425.80078125
"24","P05787;P05787-2",9055.7939453125,10543.30859375,10608.49609375,9822.4189453125,9326.533203125,8132.86962890625,7967.2861328125
"25","P06454;P06454-2",3520.63720703125,3479.8583984375,4424.23828125,3685.69604492188,3934.05444335938,3960.90600585938,4215.33203125
"26","P06576",1086.87121582031,1018.12683105469,1083.75122070312,NA,NA,NA,NA
"27","P06703",7058.6142578125,7498.3583984375,7574.216796875,8252.3603515625,7662.216796875,6019.72802734375,5195.40771484375
"28","P06733",11069.1611328125,12972.75390625,13554.419921875,13240.7939453125,11738.6328125,9154.07421875,9248.0908203125
"29","P06744",2605.17700195312,2621.66186523438,2869.3486328125,3094.947265625,2915.75146484375,2124.9423828125,2456.61987304688
"30","P06748",7836.56396484375,8346.32421875,8375.599609375,8606.177734375,7839.92822265625,7399.0390625,7757.7421875
"31","P06753-2",1840.49304199219,6185.03857421875,1290.81213378906,3396.08911132812,NA,2341.21508789062,NA
"32","P07195",3601.52416992188,3973.25,4289.1181640625,4150.18896484375,3767.62109375,3222.61303710938,3117.76049804688
"33","P07355",2748.7490234375,3064.732421875,3215.61376953125,3405.69067382812,2958.23413085938,2365.9765625,2283.94213867188
"34","P07437",3047.60473632812,3172.3251953125,3487.2333984375,3400.8779296875,NA,2181.83520507812,2474.27221679688
"35","P07737",3105.80541992188,3214.10693359375,3124.4287109375,2924.30395507812,1707.31896972656,1577.94458007812,1592.11608886719
"36","P07900;P07900-2",3054.55688476562,3182.82885742188,3260.64038085938,3159.02172851562,2697.2939453125,2494.73291015625,2169.53198242188
"37","P07910-2",3005.76513671875,3064.146484375,3294.8896484375,2629.04614257812,2367.93041992188,2307.92578125,2687.88745117188
"38","P08238",8740.4306640625,9419.6806640625,9868.0830078125,9973.63671875,8279.3935546875,7034.2978515625,6562.81494140625
"39","P08670",3201.78955078125,3425.29833984375,3494.00805664062,3169.9677734375,3048.05151367188,2932.83374023438,2742.81005859375
"40","P08708",1024.85778808594,1424.29907226562,1618.61926269531,1087.47534179688,1088.65600585938,NA,NA
"41","P08729",3518.94604492188,4209.11328125,4156.5341796875,4652.5576171875,4159.68212890625,2411.19287109375,3237.10888671875
"42","P08865",1845.96594238281,1889.26416015625,1863.57263183594,2093.67041015625,1695.931640625,1419.48229980469,1443.76379394531
"43","P09651;P09651-2",4836.22607421875,4515.53369140625,5540.54052734375,4898.22216796875,4431.31005859375,3623.908203125,3181.310546875
"44","P0C0S5;Q71UI9",2251.25073242188,2185.4287109375,2597.56201171875,2173.85009765625,1761.53405761719,1640.98974609375,1665.25134277344
"45","P0C0S8;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1",53784.09375,56196.42578125,62292.75390625,52716.7109375,39584.25390625,41051.59375,37880.375
