"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"A0A024R1R8","TMA7B","Translation machinery-associated protein 7B",0.0657598407949817,-0.397914570466803,-0.119784221422257,0.10064000501772,0.997229350245707,"Unchanged"
"A0A024RBG1","NUDT4B","Diphosphoinositol polyphosphate phosphohydrolase NUDT4B",0.0643288700848866,-0.154226371465686,-0.0464267639335871,0.0987569936514752,1.00543213927927,"Unchanged"
"A0A075B6H9","IGLV4-69","Immunoglobulin lambda variable 4-69",0.00302024980710739,-0.455926140600187,-0.13724744412797,0.00659650884676529,2.18068585078091,"Unchanged"
"A0A075B6K5","IGLV3-9","Immunoglobulin lambda variable 3-9",0.00111128746902445,-0.772356773362916,-0.232502556136485,0.00271250160197789,2.56662999665311,"Unchanged"
"A0A075B6P5","IGKV2-28","Immunoglobulin kappa variable 2-28",0.0149206984787437,-0.478933692125295,-0.144173407263812,0.0272229683996772,1.56506452096545,"Unchanged"
"A0A075B6R9","IGKV2D-24","Probable non-functional immunoglobulin kappa variable 2D-24",0.00395570871306147,-0.514476137743356,-0.154872749514104,0.00837686640833569,2.07691841049592,"Unchanged"
"A0A075B6S2","IGKV2D-29","Immunoglobulin kappa variable 2D-29",0.00342866703527109,-0.738514361788128,-0.222314975126868,0.007390181949382,2.13134486896108,"Unchanged"
"A0A075B6S5","IGKV1-27","Immunoglobulin kappa variable 1-27",5.82325381989951e-05,-0.661833652423901,-0.199231781519444,0.000192979272021958,3.71448933622499,"Unchanged"
"A0A087WSY6","IGKV3D-15","Immunoglobulin kappa variable 3D-15",0.000219289345220897,-0.516573958366104,-0.155504256447074,0.000636715019632538,3.19605490533233,"Unchanged"
"A0A0A0MRZ8","IGKV3D-11","Immunoglobulin kappa variable 3D-11",1.13445915291997e-06,-1.04211579853166,-0.313708114313351,5.58160381233218e-06,5.25324099339815,"Downregulated"
"A0A0A0MT36","IGKV6D-21","Immunoglobulin kappa variable 6D-21",0.187174691640837,-0.238133537716943,-0.07168533782638,0.252781181324509,0.59725526089256,"Unchanged"
"A0A0A6YYK7","TRAV19","T cell receptor alpha variable 19",0.0829294190862722,0.194552508995724,0.0585661409393994,0.123674218929483,0.907720823762947,"Unchanged"
"A0A0B4J2D5","GATD3B","Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",0.0148023616033793,0.157531762541748,0.0474217857948816,0.0270356858855574,1.56806260805491,"Unchanged"
"A0A0C4DH25","IGKV3D-20","Immunoglobulin kappa variable 3D-20",0.000209465941522817,-0.760540647035971,-0.22894554767952,0.000612839021611535,3.21265358944102,"Unchanged"
"A0A0C4DH31","IGHV1-18","Immunoglobulin heavy variable 1-18",0.683770924482973,-0.0419932757505554,-0.0126412356171061,0.744815402568768,0.127951350848603,"Unchanged"
"A0A0C4DH34","IGHV4-28","Immunoglobulin heavy variable 4-28",0.260107120293636,-0.126422353269072,-0.0380569204564192,0.333814630456905,0.476494632942994,"Unchanged"
"A0A0C4DH38","IGHV5-51","Immunoglobulin heavy variable 5-51",8.85309124142904e-05,-0.649437101073219,-0.1955000477201,0.000281867704051595,3.54995468204143,"Unchanged"
"A0A0C4DH41","IGHV4-61","Immunoglobulin heavy variable 4-61",0.00503171382829243,-0.631553107992376,-0.190116429360519,0.0103440511238949,1.98530934168812,"Unchanged"
"A0A0C4DH72","IGKV1-6","Immunoglobulin kappa variable 1-6",0.000140814264878847,-0.725751052387671,-0.21847283615339,0.000426839370189047,3.36973552957726,"Unchanged"
"A0A0J9YX35","IGHV3-64D","Immunoglobulin heavy variable 3-64D",0.00121490537119615,-0.461931140526545,-0.139055129229764,0.00293630530282435,2.53219879056844,"Unchanged"
"A0A7I2V3R4","RNF228","RING finger protein 228",0.761046286863427,-0.0251322033008758,-0.00756554705068894,0.809320307454186,0.0918795621594739,"Unchanged"
"A0AVT1","UBA6","Ubiquitin-like modifier-activating enzyme 6",6.44687765788323e-09,-0.305394632746876,-0.0919329449715952,5.29575378556729e-08,7.27607221466639,"Unchanged"
"A0FGR8-2","ESYT2","Isoform 2 of Extended synaptotagmin-2",1.25310147185711e-07,0.28145962368902,0.0847277892986916,7.68472281629101e-07,6.11437179264391,"Unchanged"
"A0JNW5","BLTP3B","Bridge-like lipid transfer protein family member 3B",0.31998869233231,-0.0939524557731035,-0.0282825073539977,0.397922074011657,0.400201968479772,"Unchanged"
"A0MZ66","SHTN1","Shootin-1",0.0205608916664668,-0.265990209362005,-0.0800710315709057,0.0362471166897584,1.44072653407313,"Unchanged"
"A1A5C7","SLC22A23","Solute carrier family 22 member 23",0.00120514635576564,0.334036620922027,0.100555042547769,0.00291651665683351,2.53513553888073,"Unchanged"
"A1KXE4","FAM168B","Myelin-associated neurite-outgrowth inhibitor",0.772103409104784,-0.0260003328877545,-0.0078268800964628,0.818156617826176,0.0871635523837236,"Unchanged"
"A1L020","MEX3A","RNA-binding protein MEX3A",0.00829771138104836,-0.212961101298507,-0.0641076794004863,0.0161936932473291,1.79065409170267,"Unchanged"
"A1L0T0","ILVBL","2-hydroxyacyl-CoA lyase 2",0.317945719797412,-0.0701909478574505,-0.0211295807291791,0.396096122639357,0.402199408856938,"Unchanged"
"A1L170","C1orf226","Uncharacterized protein C1orf226",4.63908385463134e-05,-0.42420592975818,-0.12769870919574,0.000156751004950852,3.80478966617054,"Unchanged"
"A1X283","SH3PXD2B","SH3 and PX domain-containing protein 2B",3.36573239202699e-24,-1.0967114416381,-0.330143040520956,2.57777704202689e-21,20.588754648505,"Downregulated"
"A1Z1Q3-1","MACROD2","Isoform 1 of ADP-ribose glycohydrolase MACROD2",1.38200399967311e-05,0.457843490864961,0.137824624069861,5.28350170257723e-05,4.27707814829174,"Unchanged"
"A2RRP1","NBAS","NBAS subunit of NRZ tethering complex",0.0178506043457555,-0.105808040260688,-0.0318513939008892,0.0319833073631004,1.49507662829226,"Unchanged"
"A2RTX5","TARS3","Threonine--tRNA ligase 2, cytoplasmic",1.14432634251009e-07,-0.377101826847531,-0.113518961300792,7.07429729051302e-07,6.1503166933315,"Unchanged"
"A2RU67","FAM234B","Protein FAM234B",0.274453604235263,0.0826654634908071,0.0248847841161986,0.349171039865941,0.456961783717837,"Unchanged"
"A2RUC4","TYW5","tRNA wybutosine-synthesizing protein 5",0.238899756874345,0.125693278627289,0.0378374471201645,0.310939581596462,0.507323990164071,"Unchanged"
"A3KMH1","VWA8","von Willebrand factor A domain-containing protein 8",0.88533915564213,0.00921860852891676,0.00277507768548772,0.913159179985217,0.0394535105670431,"Unchanged"
"A4D126","CRPPA","D-ribitol-5-phosphate cytidylyltransferase",0.146022880593638,-0.106791827636501,-0.0321475434103645,0.203381635872287,0.69168826379964,"Unchanged"
"A4D161-2","FAM221A","Isoform 2 of Protein FAM221A",0.0164268972176355,-0.239822928986141,-0.0721938952728212,0.029680367633332,1.52753072400829,"Unchanged"
"A4D1P6","WDR91","WD repeat-containing protein 91",0.00109463873779963,-0.33017650005831,-0.0993930303809016,0.00267945483652445,2.57195355879709,"Unchanged"
"A4D1U4","DENND11","DENN domain-containing protein 11",0.249888389881777,-0.105282347820038,-0.0316931447077599,0.322803724035811,0.491061463668449,"Unchanged"
"A4D2B0","MBLAC1","Metallo-beta-lactamase domain-containing protein 1",9.78916369155383e-06,0.368648889115357,0.110974373491927,3.85581173290746e-05,4.41388417947758,"Unchanged"
"A5D8V6","VPS37C","Vacuolar protein sorting-associated protein 37C",5.87021758900578e-09,-0.357145346762005,-0.107511462187177,4.89279441850264e-08,7.31044303169266,"Unchanged"
"A5PKW4","PSD","PH and SEC7 domain-containing protein 1",3.57124412547742e-08,0.530717114516339,0.159761770681654,2.45674508552055e-07,6.60963990403891,"Unchanged"
"A5PLN9","TRAPPC13","Trafficking protein particle complex subunit 13",0.176328858115735,0.139170852106746,0.0418946010062463,0.240157047815009,0.619504663731432,"Unchanged"
"A5YKK6","CNOT1","CCR4-NOT transcription complex subunit 1",0.211644323650544,-0.0928529384270309,-0.027951519652077,0.280712781012739,0.551737813240375,"Unchanged"
"A5YM72","CARNS1","Carnosine synthase 1",0.000576680004376651,-0.493630379347434,-0.148597550954567,0.00151373011049819,2.81995155017928,"Unchanged"
"A6NCE7","MAP1LC3B2","Microtubule-associated proteins 1A/1B light chain 3 beta 2",0.977677943294732,0.00325152355042491,0.000978806120285786,0.983384512349422,0.00727663584060013,"Unchanged"
"A6NCS6","C2orf72","Uncharacterized protein C2orf72",0.00169255200057163,-0.243934606482087,-0.0734316335315976,0.00394814245006438,2.40360718625548,"Unchanged"
"A6NDB9","PALM3","Paralemmin-3",0.362061856552959,0.0817231637921809,0.024601123642007,0.442185042030395,0.354395952561314,"Unchanged"
"A6NDG6","PGP","Glycerol-3-phosphate phosphatase",0.329004878936713,0.0614961160066798,0.0185121755348425,0.407443519674949,0.389932585190395,"Unchanged"
"A6NDU8","RIMOC1","RAB7A-interacting MON1-CCZ1 complex subunit 1",0.00251282501012659,-0.259045590583632,-0.0779804930101643,0.00560184437089346,2.25166896081075,"Unchanged"
"A6NE02","BTBD17","BTB/POZ domain-containing protein 17",5.78704877348294e-09,-1.36669308977589,-0.411415614889228,4.83756159172401e-08,7.31537349251038,"Downregulated"
"A6NEQ2","FAM181B","Protein FAM181B",0.583946345274207,-0.0496943512419428,-0.0149594903388864,0.654069248939732,0.184376268739499,"Unchanged"
"A6NFN3","RBFOX3","RNA binding protein fox-1 homolog 3",0.20400049551513,0.107245467356229,0.0322841025732273,0.272040126830295,0.565367031349441,"Unchanged"
"A6NGB9","WIPF3","WAS/WASL-interacting protein family member 3",3.84377308991387e-05,0.369961696746627,0.111369567967476,0.000133208285111998,3.87546876265429,"Unchanged"
"A6NGN9","IGLON5","IgLON family member 5",9.18902857651758e-06,0.497384987841985,0.149727800733402,3.6507189612643e-05,4.43762159851287,"Unchanged"
"A6NGU5","GGT3P","Putative glutathione hydrolase 3 proenzyme",0.000331833277669868,-0.383642667686829,-0.115487950590284,0.000923799185370921,3.03442242506097,"Unchanged"
"A6NHL2","TUBAL3","Tubulin alpha chain-like 3",0.221665746333905,0.113567957167549,0.0341873616537146,0.291926249422928,0.534726852367299,"Unchanged"
"A6NHQ2","FBLL1","rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1",0.000283596582375394,-0.571908049142577,-0.172161477553586,0.000801488824236814,3.09610252896314,"Unchanged"
"A6NHR9","SMCHD1","Structural maintenance of chromosomes flexible hinge domain-containing protein 1",0.0390777066815021,-0.211824714262923,-0.0637655928160919,0.0639512422021828,1.19415101527737,"Unchanged"
"A6NHX0","CASTOR2","Cytosolic arginine sensor for mTORC1 subunit 2",0.505423951785262,0.0724607435550606,0.0218128573181888,0.581811890154774,0.235217407571871,"Unchanged"
"A6NIH7","UNC119B","Protein unc-119 homolog B",7.07289770099574e-08,-0.458049771620888,-0.137886720764924,4.5950503160192e-07,6.33770972870663,"Unchanged"
"A6NJL1","ZSCAN5B","Zinc finger and SCAN domain-containing protein 5B",0.0786275154004722,0.184998148694639,0.0556899918993918,0.11802688668455,0.928019048552795,"Unchanged"
"A6NKD9","CCDC85C","Coiled-coil domain-containing protein 85C",0.0250006764271256,-0.243753991256219,-0.0733772629309378,0.0430608852104389,1.36591704655021,"Unchanged"
"A6NKN8","PCP4L1","Purkinje cell protein 4-like protein 1",0.00223167133622826,0.306823388846207,0.0923630434139818,0.00503038277325749,2.29839896723259,"Unchanged"
"A6NL88","SHISA7","Protein shisa-7",1.50626951467056e-08,0.809435858194646,0.243664472882605,1.13244789267713e-07,6.94598177204663,"Unchanged"
"A6QL63","ABTB3","Ankyrin repeat and BTB/POZ domain-containing protein 3",0.809866246159849,-0.0195516070328141,-0.00588562018031189,0.849552280441308,0.0708098900044298,"Unchanged"
"A6XGL0","YJEFN3","YjeF N-terminal domain-containing protein 3",2.21230913027968e-07,0.670720132995579,0.201906878727404,1.29232600296761e-06,5.88862791712211,"Unchanged"
"A6ZKI3","RTL8C","Retrotransposon Gag-like protein 8C",0.0308059411840966,-0.167288522548109,-0.050358863217291,0.0516529682758398,1.28690471637519,"Unchanged"
"A7KAX9","ARHGAP32","Rho GTPase-activating protein 32",5.07733097127527e-05,0.348403649040606,0.104879948960009,0.000170555762110138,3.76813360366576,"Unchanged"
"A7MBM2","DISP2","Protein dispatched homolog 2",0.00207853927731997,-0.264875391130892,-0.0797354378436278,0.00472227133769497,2.32584906234876,"Unchanged"
"A8CG34","POM121C","Nuclear envelope pore membrane protein POM 121C",0.0136255549109187,-0.200839723686596,-0.0604587811505313,0.0251192698585083,1.59999298838346,"Unchanged"
"A8K2U0","A2ML1","Alpha-2-macroglobulin-like protein 1",0.00319030810017585,-0.435894129749101,-0.131217207988327,0.00693059997936089,2.15922916705533,"Unchanged"
"A8MSI8","LYRM9","LYR motif-containing protein 9",0.000542670923859519,0.350302576146488,0.105451582978459,0.00143115998922522,2.84431181379172,"Unchanged"
"A8MT19","RHPN2P1","Putative rhophilin-2-like protein RHPN2P1",0.647541597260236,0.0418930903137893,0.0126110767955108,0.713019845034314,0.146898382533889,"Unchanged"
"A8MVW0","FAM171A2","Protein FAM171A2",5.12522315103188e-08,0.438977833784987,0.132145495400879,3.41995771346203e-07,6.46597926380458,"Unchanged"
"A8MW92","PHF20L1","PHD finger protein 20-like protein 1",0.000104103922246145,-0.334303422085658,-0.1006353577009,0.000325436887094184,3.48753322290031,"Unchanged"
"A8MWD9","SNRPGP15","Putative small nuclear ribonucleoprotein G-like protein 15",0.000711370184724193,-0.43865366673259,-0.132047911394501,0.00182488823345882,2.73876372905873,"Unchanged"
"A8MXV4","NUDT19","Acyl-coenzyme A diphosphatase NUDT19",0.117921415246069,-0.139453617738678,-0.0419797219432006,0.1685674648053,0.773226244770823,"Unchanged"
"A9UHW6","MIF4GD","MIF4G domain-containing protein",0.00157776235153501,-0.280642678773589,-0.0844818643743415,0.00370798359670332,2.43086219574572,"Unchanged"
