"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"A0A024R1R8","TMA7B","Translation machinery-associated protein 7B",0.136628742756288,0.362716997124701,0.109188696071701,0.179797999965462,0.745215143574951,"Unchanged"
"A0A024RBG1","NUDT4B","Diphosphoinositol polyphosphate phosphohydrolase NUDT4B",0.958576054447495,0.00489329970665242,0.00147302998947612,0.968694435318367,0.0138131950680363,"Unchanged"
"A0A075B6H9","IGLV4-69","Immunoglobulin lambda variable 4-69",8.31200443664285e-05,0.673106439100462,0.20262522844381,0.00019252233394415,3.71551888202002,"Unchanged"
"A0A075B6K5","IGLV3-9","Immunoglobulin lambda variable 3-9",3.19744429880882e-07,1.32868042459673,0.399972662455171,9.6624215483074e-07,6.01491401920821,"Upregulated"
"A0A075B6P5","IGKV2-28","Immunoglobulin kappa variable 2-28",2.43590683980317e-09,1.25948080679017,0.379141501806911,9.41710928029346e-09,8.02608238980616,"Upregulated"
"A0A075B6R9","IGKV2D-24","Probable non-functional immunoglobulin kappa variable 2D-24",2.87203023523512e-09,1.14263356369861,0.343966976725713,1.10289161066717e-08,7.95746716680022,"Upregulated"
"A0A075B6S2","IGKV2D-29","Immunoglobulin kappa variable 2D-29",4.94263301823513e-13,1.91565427994915,0.576669399586779,2.82032859227606e-12,11.5497002897307,"Upregulated"
"A0A075B6S5","IGKV1-27","Immunoglobulin kappa variable 1-27",0.000547382722811933,0.644309883920871,0.19395660156296,0.00113035024216377,2.94678696831212,"Unchanged"
"A0A087WSY6","IGKV3D-15","Immunoglobulin kappa variable 3D-15",0.0420899151759151,0.324416080016357,0.0976589711606498,0.0625810580905054,1.20355709828501,"Unchanged"
"A0A0A0MRZ8","IGKV3D-11","Immunoglobulin kappa variable 3D-11",0.0956025381413555,0.415008573675678,0.124930029134104,0.130777593849645,0.883466657395603,"Unchanged"
"A0A0A0MT36","IGKV6D-21","Immunoglobulin kappa variable 6D-21",1.74018026403736e-12,1.3279303980256,0.399746881959717,9.48226289328817e-12,11.0230880081479,"Upregulated"
"A0A0A6YYK7","TRAV19","T cell receptor alpha variable 19",0.00109357863329386,0.406864885943917,0.122478534851524,0.00216299498401566,2.66494448768844,"Unchanged"
"A0A0B4J2D5","GATD3B","Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",6.70167814588024e-12,-0.466984652310565,-0.140576387860195,3.43710323359766e-11,10.4638074236066,"Unchanged"
"A0A0C4DH25","IGKV3D-20","Immunoglobulin kappa variable 3D-20",0.00022488385045116,0.851420623429386,0.256303146579172,0.00049116742115331,3.30877044740959,"Unchanged"
